t,V,Ap,Apm,Thn,The,Tkn,Tke,B,Ps,Pl,Bm,A
991.14,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.15,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.16,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.17,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.18,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.19,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.2,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.21,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.22,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.23,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.24,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.25,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.26,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.27,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.28,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.29,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.3,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.31,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.32,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.33,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.34,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.35,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.36,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.37,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.38,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.39,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.4,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.41,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.42,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.43,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.44,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.45,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.46,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.47,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.48,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.49,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.5,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.51,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.52,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.53,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.54,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.55,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.56,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.57,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.58,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.59,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.6,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.61,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.62,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.63,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.64,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.65,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.66,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.67,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.68,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.69,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.7,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
